,date,value,community
530,2015-07-01,180000,19
531,2015-08-01,192500,19
532,2015-09-01,200000,19
533,2015-10-01,201000,19
534,2015-11-01,199000,19
535,2015-12-01,195000,19
536,2016-01-01,180000,19
537,2016-02-01,191000,19
538,2016-03-01,195500,19
539,2016-04-01,213500,19
540,2016-05-01,210000,19
541,2016-06-01,210000,19
542,2016-07-01,230000,19
543,2016-08-01,230000,19
544,2016-09-01,237000,19
545,2016-10-01,235000,19
546,2016-11-01,237750,19
547,2016-12-01,220000,19
548,2017-01-01,225000,19
549,2012-01-01,228000,72
550,2012-02-01,224250,72
551,2012-03-01,211250,72
552,2012-04-01,230000,72
553,2012-05-01,227500,72
554,2012-06-01,201000,72
555,2012-07-01,240000,72
556,2012-08-01,265000,72
557,2012-09-01,250000,72
558,2012-10-01,236500,72
559,2012-11-01,230000,72
560,2012-12-01,230000,72
561,2013-01-01,232500,72
562,2013-02-01,244500,72
563,2013-03-01,231250,72
564,2013-04-01,228000,72
565,2013-05-01,227000,72
566,2013-06-01,228000,72
567,2013-07-01,234000,72
568,2013-08-01,264000,72
569,2013-09-01,295000,72
570,2013-10-01,286000,72
571,2013-11-01,270000,72
572,2013-12-01,245000,72
573,2014-01-01,240000,72
574,2014-02-01,239000,72
575,2014-03-01,244000,72
576,2014-04-01,265000,72
577,2014-05-01,271000,72
578,2014-06-01,300250,72
579,2014-07-01,292000,72
580,2014-08-01,315000,72
581,2014-09-01,317500,72
582,2014-10-01,320000,72
583,2014-11-01,300000,72
584,2014-12-01,300000,72
585,2015-01-01,286000,72
586,2015-02-01,292000,72
587,2015-03-01,299000,72
588,2015-04-01,224500,72
589,2015-05-01,240000,72
590,2015-06-01,243000,72
591,2015-07-01,313000,72
592,2015-08-01,318750,72
593,2015-09-01,314500,72
594,2015-10-01,314500,72
595,2015-11-01,305000,72
596,2015-12-01,300000,72
597,2016-01-01,300000,72
598,2016-02-01,285000,72
599,2016-03-01,258750,72
600,2016-04-01,240000,72
601,2016-05-01,240000,72
602,2016-06-01,272750,72
603,2016-07-01,280000,72
604,2016-08-01,295000,72
605,2016-09-01,297250,72
606,2016-10-01,290000,72
607,2016-11-01,317000,72
608,2016-12-01,298250,72
609,2017-01-01,290750,72
610,2012-01-01,282500,60
611,2012-02-01,220000,60
612,2012-03-01,200000,60
613,2012-04-01,222000,60
614,2012-05-01,260000,60
615,2012-06-01,264000,60
616,2012-07-01,305000,60
617,2012-08-01,268000,60
618,2012-09-01,275000,60
619,2012-10-01,251500,60
620,2012-11-01,268000,60
621,2012-12-01,288000,60
622,2013-01-01,345000,60
623,2013-02-01,240000,60
624,2013-03-01,240000,60
625,2013-04-01,240000,60
626,2013-05-01,260000,60
627,2013-06-01,280000,60
628,2013-07-01,238750,60
629,2013-08-01,285000,60
630,2013-09-01,240000,60
631,2013-10-01,300000,60
632,2013-11-01,288000,60
633,2013-12-01,288000,60
634,2014-01-01,325250,60
635,2014-02-01,345000,60
636,2014-03-01,341250,60
637,2014-04-01,350500,60
638,2014-05-01,356000,60
639,2014-06-01,355000,60
640,2014-07-01,332000,60
641,2014-08-01,305000,60
642,2014-09-01,348500,60
643,2014-10-01,308000,60
644,2014-11-01,299500,60
645,2014-12-01,295000,60
646,2015-01-01,329000,60
647,2015-02-01,305000,60
648,2015-03-01,302500,60
649,2015-04-01,238000,60
650,2015-05-01,285000,60
651,2015-06-01,291000,60
652,2015-07-01,305000,60
653,2015-08-01,305000,60
654,2015-09-01,315000,60
655,2015-10-01,343000,60
656,2015-11-01,300250,60
657,2015-12-01,277500,60
658,2016-01-01,265000,60
659,2016-02-01,300000,60
660,2016-03-01,309000,60
661,2016-04-01,346500,60
662,2016-05-01,372000,60
663,2016-06-01,327750,60
664,2016-07-01,332000,60
665,2016-08-01,360000,60
666,2016-09-01,373000,60
667,2016-10-01,345000,60
668,2016-11-01,337500,60
669,2016-12-01,300000,60
670,2017-01-01,322000,60
671,2012-01-01,60000,58
672,2012-02-01,65000,58
673,2012-03-01,65000,58
674,2012-04-01,65000,58
675,2012-05-01,64000,58
676,2012-06-01,63500,58
677,2012-07-01,53750,58
678,2012-08-01,59000,58
679,2012-09-01,71000,58
680,2012-10-01,97500,58
681,2012-11-01,90000,58
682,2012-12-01,90000,58
683,2013-01-01,59500,58
684,2013-02-01,73000,58
685,2013-03-01,73000,58
686,2013-04-01,72000,58
687,2013-05-01,82000,58
688,2013-06-01,82250,58
689,2013-07-01,90000,58
690,2013-08-01,87500,58
691,2013-09-01,90000,58
692,2013-10-01,90000,58
693,2013-11-01,100000,58
694,2013-12-01,95000,58
695,2014-01-01,110000,58
696,2014-02-01,77750,58
697,2014-03-01,85000,58
698,2014-04-01,80000,58
699,2014-05-01,82500,58
700,2014-06-01,100000,58
701,2014-07-01,102750,58
702,2014-08-01,122000,58
703,2014-09-01,117500,58
704,2014-10-01,137000,58
705,2014-11-01,137000,58
706,2014-12-01,138000,58
707,2015-01-01,77750,58
708,2015-02-01,136500,58
709,2015-03-01,146500,58
710,2015-04-01,146500,58
711,2015-05-01,130000,58
712,2015-06-01,138000,58
713,2015-07-01,146000,58
714,2015-08-01,146000,58
715,2015-09-01,139500,58
716,2015-10-01,137750,58
717,2015-11-01,160000,58
718,2015-12-01,150000,58
719,2016-01-01,147000,58
720,2016-02-01,143750,58
721,2016-03-01,144000,58
722,2016-04-01,157000,58
723,2016-05-01,169500,58
724,2016-06-01,175000,58
725,2016-07-01,124000,58
726,2016-08-01,117500,58
727,2016-09-01,165000,58
728,2016-10-01,159500,58
729,2016-11-01,159000,58
730,2016-12-01,142250,58
731,2017-01-01,158000,58
732,2012-01-01,374750,22
733,2012-02-01,316000,22
734,2012-03-01,339000,22
735,2012-04-01,270000,22
736,2012-05-01,260000,22
737,2012-06-01,350000,22
738,2012-07-01,388000,22
739,2012-08-01,422000,22
740,2012-09-01,399000,22
741,2012-10-01,366500,22
742,2012-11-01,360000,22
743,2012-12-01,400000,22
744,2013-01-01,432500,22
745,2013-02-01,425000,22
746,2013-03-01,358000,22
747,2013-04-01,355500,22
748,2013-05-01,343250,22
749,2013-06-01,399000,22
750,2013-07-01,400000,22
751,2013-08-01,428000,22
752,2013-09-01,432500,22
753,2013-10-01,437500,22
754,2013-11-01,430000,22
755,2013-12-01,435000,22
756,2014-01-01,437500,22
757,2014-02-01,408750,22
758,2014-03-01,414000,22
759,2014-04-01,395000,22
760,2014-05-01,350000,22
761,2014-06-01,363750,22
762,2014-07-01,405000,22
763,2014-08-01,435000,22
764,2014-09-01,480000,22
765,2014-10-01,450000,22
766,2014-11-01,490000,22
767,2014-12-01,418500,22
768,2015-01-01,435000,22
769,2015-02-01,390000,22
770,2015-03-01,416500,22
771,2015-04-01,399000,22
772,2015-05-01,443750,22
773,2015-06-01,448750,22
774,2015-07-01,452750,22
775,2015-08-01,445000,22
776,2015-09-01,418500,22
777,2015-10-01,402500,22
778,2015-11-01,419000,22
779,2015-12-01,455000,22
780,2016-01-01,475000,22
781,2016-02-01,444750,22
782,2016-03-01,426500,22
783,2016-04-01,451000,22
784,2016-05-01,479000,22
785,2016-06-01,460000,22
786,2016-07-01,460500,22
787,2016-08-01,421000,22
788,2016-09-01,449000,22
789,2016-10-01,440000,22
790,2016-11-01,443500,22
791,2016-12-01,441000,22
792,2017-01-01,428000,22
793,2012-03-01,117000,47
794,2012-04-01,141500,47
795,2012-05-01,141500,47
796,2012-06-01,166000,47
797,2012-07-01,157500,47
798,2012-08-01,157500,47
799,2012-09-01,89250,47
800,2012-10-01,33500,47
801,2012-11-01,33500,47
802,2012-12-01,48000,47
803,2013-01-01,35250,47
804,2013-02-01,35250,47
805,2013-04-01,1680000,47
806,2013-05-01,1680000,47
807,2013-06-01,1680000,47
808,2013-07-01,120000,47
