,date,value,community
202,2016-11-01,317000,Beverly
203,2016-12-01,298250,Beverly
204,2017-01-01,290750,Beverly
144,2012-01-01,282500,Bridgeport
145,2012-02-01,220000,Bridgeport
146,2012-03-01,200000,Bridgeport
147,2012-04-01,222000,Bridgeport
148,2012-05-01,260000,Bridgeport
149,2012-06-01,264000,Bridgeport
150,2012-07-01,305000,Bridgeport
151,2012-08-01,268000,Bridgeport
152,2012-09-01,275000,Bridgeport
153,2012-10-01,251500,Bridgeport
154,2012-11-01,268000,Bridgeport
155,2012-12-01,288000,Bridgeport
156,2013-01-01,345000,Bridgeport
157,2013-02-01,240000,Bridgeport
158,2013-03-01,240000,Bridgeport
159,2013-04-01,240000,Bridgeport
160,2013-05-01,260000,Bridgeport
161,2013-06-01,280000,Bridgeport
162,2013-07-01,238750,Bridgeport
163,2013-08-01,285000,Bridgeport
164,2013-09-01,240000,Bridgeport
165,2013-10-01,300000,Bridgeport
166,2013-11-01,288000,Bridgeport
167,2013-12-01,288000,Bridgeport
168,2014-01-01,325250,Bridgeport
169,2014-02-01,345000,Bridgeport
170,2014-03-01,341250,Bridgeport
171,2014-04-01,350500,Bridgeport
172,2014-05-01,356000,Bridgeport
173,2014-06-01,355000,Bridgeport
174,2014-07-01,332000,Bridgeport
175,2014-08-01,305000,Bridgeport
176,2014-09-01,348500,Bridgeport
177,2014-10-01,308000,Bridgeport
178,2014-11-01,299500,Bridgeport
179,2014-12-01,295000,Bridgeport
180,2015-01-01,329000,Bridgeport
181,2015-02-01,305000,Bridgeport
182,2015-03-01,302500,Bridgeport
183,2015-04-01,238000,Bridgeport
184,2015-05-01,285000,Bridgeport
185,2015-06-01,291000,Bridgeport
186,2015-07-01,305000,Bridgeport
187,2015-08-01,305000,Bridgeport
188,2015-09-01,315000,Bridgeport
189,2015-10-01,343000,Bridgeport
190,2015-11-01,300250,Bridgeport
191,2015-12-01,277500,Bridgeport
192,2016-01-01,265000,Bridgeport
193,2016-02-01,300000,Bridgeport
194,2016-03-01,309000,Bridgeport
195,2016-04-01,346500,Bridgeport
196,2016-05-01,372000,Bridgeport
197,2016-06-01,327750,Bridgeport
198,2016-07-01,332000,Bridgeport
199,2016-08-01,360000,Bridgeport
200,2016-09-01,373000,Bridgeport
